Observation id,May 1622-1601 puzzle box day 5,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,,,,,,,
Player #1,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid2.MTS,,,,,,,
,,,,,,,,
Observation date,2020-06-19 07:00:04,,,,,,,
,,,,,,,,
Description,Day 5 of may puzzle box trials for female 1622 and male 1601 in 7.1 with pups,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
5518.605,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
5540.160,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
5543.995,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
5551.677,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
6361.650,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,START
6403.043,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,START
6409.935,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
6445.190,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Solve,,,POINT
6452.845,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
6457.440,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
6469.722,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
6674.296,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,START
6681.938,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,START
6688.851,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,START
6750.227,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,Interact,,,STOP
6750.980,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,1m,,,STOP
6754.803,D:/May/Puzzle Box/1622-1601_May_PuzzleBox_06192020_Day5_Vid1.MTS,7743.830,29.97,Pup,5m,,,STOP
