,1m,5m,Int,Tou,Solve,Total,Pair,subject,day,month
55,0,0,0,0,0,6686.35,1842-1851,1842,7,February
56,0,1.203,0,0,0,6825.49,1842-1851,1842,8,February
57,0,0,0,0,0,5297.47,1850-1803,1850,1,February
58,0,2.602,0,0,0,6519.19,1850-1803,1850,2,February
59,0,0,0,0,0,6649.3,1850-1803,1850,3,February
60,0,0,0,0,0,6384.04,1850-1803,1850,4,February
61,0,0,0,0,0,5903.05,1850-1803,1850,5,February
62,0,0,0,0,0,5473.65,1850-1803,1850,6,February
63,0,3.002,0,0,0,5980.65,1850-1803,1850,7,February
64,0,0,0,0,0,5890.59,1850-1803,1850,8,February
65,8.452,305.443,0,0,0,9162.96,1600-1623,1623,1,February
66,0,94.409,0,0,0,3948.58,1600-1623,1623,2,February
67,19.221,268.033,0,0,0,3832.91,1600-1623,1623,3,February
68,0,20.693,0,0,0,7703.9,1600-1623,1623,4,February
69,0.576,155.574,0,0,0,8261.04,1600-1623,1623,5,February
70,26.247,425.406,0,0,0,9392.66,1600-1623,1623,6,February
71,12.034,275.967,0,0,0,8374.64,1600-1623,1623,7,February
72,65.061,263.306,0,0,0,7815.57,1600-1623,1623,8,February
73,0,11.804,0,0,0,7810.58,1602-1617,1617,1,February
74,0,33.604,0,0,0,7753.95,1602-1617,1617,2,February
75,0,116.631,0,0,0,8263.03,1602-1617,1617,3,February
76,0,0,0,0,0,9292.08,1602-1617,1617,4,February
77,0,0,0,0,0,8395.16,1602-1617,1617,5,February
78,0,42.264,0,0,0,7034.27,1602-1617,1617,6,February
79,0,12.29,0,0,0,7574.27,1602-1617,1617,7,February
80,2.305,6.341,0,0,0,7615.81,1602-1617,1617,8,February
81,0,102.074,0,0,0,6998.17,1610-1703,1703,1,February
82,0,210.345,0,0,0,7461.66,1610-1703,1703,2,February
83,0,48.187,0,0,0,8049.3,1610-1703,1703,3,February
84,0,24.848,0,0,0,8422.68,1610-1703,1703,4,February
85,18.173,380.646,0,0,0,8178.45,1610-1703,1703,5,February
86,0,304.082,0,0,0,7316.51,1610-1703,1703,6,February
87,29.095,230.205,0,0,0,7665.85,1610-1703,1703,7,February
88,0,273.417,0,0,0,7572.77,1610-1703,1703,8,February
89,0,0,0,0,0,6519.19,1622-1601,1601,1,February
90,0,0,0,0,0,3742.8,1622-1601,1601,2,February
91,0,15.665,0,0,0,3885.46,1622-1601,1601,3,February
92,0,11.248,0,0,0,7839.6,1622-1601,1601,4,February
93,3.992,105.228,0,0,0,7661.37,1622-1601,1601,5,February
94,65.493,465.933,0,0,0,8458.71,1622-1601,1601,6,February
95,61.736,898.052,0,0,0,8086.87,1622-1601,1601,7,February
96,22.298,724.923,0,0,0,8573.84,1622-1601,1601,8,February
97,0,49.416,0,0,0,8495.79,1802-1853,1853,1,February
98,0,301.102,0,0,0,6204.88,1802-1853,1853,2,February
99,0,449.366,0,0,0,6801.71,1802-1853,1853,3,February
100,4.004,221.223,0,0,0,5503.17,1802-1853,1853,4,February
101,60.054,907.905,0,0,0,5853.52,1802-1853,1853,5,February
102,23.611,761.145,0,0,0,5793.49,1802-1853,1853,6,February
103,24.126,598.786,0,0,0,5962.12,1802-1853,1853,7,February
104,15.675,491.07,0,0,0,6635.79,1802-1853,1853,8,February
105,2.787,573.884,0,0,0,6382.03,1820-1841,1841,1,February
106,0,1027.299,0,0,0,6975.14,1820-1841,1841,2,February
107,0,1099.38,0,0,0,6359.99,1820-1841,1841,3,February
108,0,565.766,0,0,0,6412.58,1820-1841,1841,4,February
109,0,288.969,0,0,0,5727.4,1820-1841,1841,5,February
110,0,1605.806,0,0,0,6680.35,1820-1841,1841,6,February
111,0,447.122,0,0,0,6613.29,1820-1841,1841,7,February
112,0,433.9,0,0,0,5821.03,1820-1841,1841,8,February
113,17.257,542.724,0,0,0,9366.16,1842-1851,1851,1,February
114,59.673,189.211,0,0,0,5759.45,1842-1851,1851,2,February
115,32.325,182.086,0,0,0,5792.99,1842-1851,1851,3,February
116,39.751,274.752,0,0,0,5079.75,1842-1851,1851,4,February
117,13.414,213.973,0,0,0,6448.15,1842-1851,1851,5,February
118,50.543,183.266,0,0,0,5133.31,1842-1851,1851,6,February
119,53.337,316.328,0,0,0,6686.35,1842-1851,1851,7,February
120,32.542,195.231,0,0,0,6825.49,1842-1851,1851,8,February
121,0,0.301,0,0,0,5297.47,1850-1803,1803,1,February
122,0,14.036,0,0,0,6519.19,1850-1803,1803,2,February
123,6.108,365.324,0,0,0,6649.3,1850-1803,1803,3,February
124,0,10.006,0,0,0,6384.04,1850-1803,1803,4,February
125,0,16.523,0,0,0,5903.05,1850-1803,1803,5,February
126,0,11.32,0,0,0,5473.65,1850-1803,1803,6,February
127,0,82.777,0,0,0,5980.65,1850-1803,1803,7,February
128,0,159.653,0,0,0,5890.59,1850-1803,1803,8,February
1,11.624,420.585,0,0,0,8522.12,1600-1623,1600,1,May
2,75.459,394.779,0,0,0,7642.88,1600-1623,1600,10,May
3,11.857,228.98,0,0,0,9061.62,1600-1623,1600,2,May
4,15.305,253.954,0,0,0,7224.99,1600-1623,1600,3,May
5,0,182.546,0,0,0,9077.15,1600-1623,1600,4,May
6,5.907,194.19,0,0,0,7468.97,1600-1623,1600,5,May
7,17.123,645.39,0,0,0,8663.75,1600-1623,1600,6,May
8,0,71.25,0,0,0,7333.05,1600-1623,1600,7,May
9,46.751,349.092,0,0,0,7525.73,1600-1623,1600,8,May
10,60.489,319.544,0,0,0,10665.77,1600-1623,1600,9,May
11,0,0,0,0,0,2326.32,1602-1617,1602,1,May
12,0,2.67,0,0,0,7710.31,1602-1617,1602,10,May
13,0,0,0,0,0,8085.18,1602-1617,1602,2,May
14,19.502,58.625,0,0,0,8699.79,1602-1617,1602,3,May
15,0,68.869,0,0,0,7983.08,1602-1617,1602,4,May
16,3.73,81.287,0,0,0,6479.49,1602-1617,1602,5,May
17,0,0,0,0,0,2326.32,1602-1617,1602,6,May
18,4.719,101.245,0,0,0,7974.57,1602-1617,1602,7,May
19,53.94,450.765,0,0,0,8035.62,1602-1617,1602,8,May
20,5.337,31.127,0,0,0,8649.73,1602-1617,1602,9,May
21,0,0,0,0,0,8308.9,1610-1703,1610,1,May
22,4.004,151.765,0,0,0,7239.39,1610-1703,1610,10,May
23,0,0,0,0,0,8879.97,1610-1703,1610,2,May
24,0,157.63,0,0,0,7165.86,1610-1703,1610,3,May
25,22.558,239.94,0,0,0,8493.58,1610-1703,1610,4,May
26,0.997,200.692,0,0,0,7274.37,1610-1703,1610,5,May
27,0,30.865,0,0,0,8409,1610-1703,1610,6,May
28,249.946,785.277,0,0,0,7630.33,1610-1703,1610,7,May
